lake_id,NAME,COUNTRY,MAX DISTANCE TO LAND (KM),LAT CENTRE,LON CENTRE,N PIXELS LSWT_mean,N PIXELS LSWT_std,N PIXELS CLIM_mean,N PIXELS CLIM_std,LSWT_spatial_mean,LSWT_spatial_std,PIXELS_PERCENTAGE_mean,PIXELS_PERCENTAGE_std,max_N_no_obs_consecutive_days,N_no_obs_consecutive_days_mean,N_no_obs_consecutive_days_std,longest_duration_days,Freq_Rank,N_obs_days_mean,N_obs_days_std,selection,Insitu-only flag,LIC-only flag,LSWT-only flag,UOR_selection_flag,UOR_LIC_with_insitu_flag,lake_cluster_flag,Form ice flag
2, lake Superior,"United States,Canada",73.5,47.9625,-87.0431,36404.17682437851,39475.57310604454,141076.88220518245,1211.9153286117112,0.6975355519914461,0.3655668278258108,25.585033646347533,27.743625985539428,8,1.3053977272727273,0.6860413126934175,15856.0,1.0,325.30434782608694,14.284240466041572,1,1,0,0,1,0,,1
5, lake Huron,"Canada,United States",73.3,44.7208,-82.3458,25611.411731765365,27408.382120742353,96379.6143053645,2485.365980554937,0.683530029399412,0.29559131328602395,25.955582759151714,27.77670117836754,10,1.3733624454148472,0.854163987499835,15472.0,1.0,310.5652173913044,16.841037775614772,1,1,0,0,1,0,,1
6, lake Michigan,United States,63.8,42.6042,-87.0153,26663.311068440544,26694.67598633543,93322.32139962172,1233.2587724766427,0.717657385818132,0.3005553059376375,28.3869677502348,28.420360261408067,11,1.3151658767772512,0.8803851731223187,15730.0,1.0,317.0,17.46685172235996,1,1,0,0,1,0,,1
8, lake Baykal/Baikal,Russian Federation,33.7,54.1736,108.9736,17608.162564102564,16937.009678424685,59294.00067396799,10594.96710421188,0.7610241025641026,0.362423789007227,28.024195575666162,26.956025080253173,102,4.777153558052435,15.1621992807394,15638.0,3.0,254.34782608695653,18.242330133391736,1,0,1,0,0,0,,1
9, Great Bear lake,Canada,39.4,66.0125,-120.3764,23491.19586312564,25895.911252209626,83825.3274868454,11208.535957676615,0.7918495914198161,0.3022006820174932,26.745905048474498,29.483794164030517,191,15.1010101010101,45.68730528603719,,,170.2608695652174,13.5821319497491,1,0,1,0,0,0,,1
11, Great Slave lake,Canada,44.6,61.3347,-114.7958,17907.579160451736,19301.59244663755,62282.67333193012,13304.22830261919,0.8861760068186663,0.36781352668590384,26.050798156052046,28.078719318365447,154,8.583333333333334,28.713503404805515,10714.0,2.0,204.04347826086956,11.202590044959024,1,1,0,0,1,0,,1
12, lake Erie,"United States,Canada",45.6,42.2514,-81.1292,11555.116608939468,12423.06088268558,40651.58398376522,55.24520645573104,0.5677859145637474,0.24682434916286997,28.270781711495296,30.394296681637123,22,1.6844380403458212,1.477931771459344,15439.0,1.0,263.60869565217394,21.99119478839983,1,1,0,0,1,0,,1
13, lake Winnipeg,Canada,40.1,53.4153,-98.4236,14144.568703156938,14386.629953229818,44913.15251261795,4483.114355613253,0.7020267999091528,0.32953167822053614,30.851004848972558,31.3789695367951,159,6.438003220611916,23.83750894552214,7812.0,2.0,191.43478260869566,13.53052470579871,1,1,0,0,1,0,,1
15, lake Ontario,"Canada,United States",36.1,43.6653,-77.7625,9702.900711413547,9387.703397613037,31062.59144144144,162.72844781017886,0.7023733374574699,0.31622875230435893,30.780384834608213,29.78048852461076,11,1.4827586206896552,0.9222087715720237,11785.0,2.0,281.1304347826087,20.532245920250524,1,1,0,0,1,0,,1
16, lake Ladoga,Russian Federation,56.3,60.7653,31.6486,13636.741901776384,13559.013942674079,41004.69767049291,1040.9732664531666,0.706481017067224,0.35936609487605603,32.61520150624569,32.429298372854305,67,2.3468667255075024,4.236674387399915,,,249.65217391304347,23.88915443469574,1,0,1,0,0,0,,1
